Organ zgłaszający;Usługa pobierania ▴
Starosta Żywiecki;https://zywiecki-wms.webewid.pl/iip/ows
Starosta Zwoleński;https://zwolenpowiat.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Żuromińskiego;https://zuromin-powiat.geoportal2.pl/map/geoportal/wfse.php
Starosta Żniński;https://zninski-wms.webewid.pl/iip/ows
Starosta Zgierski;https://zgierski-wms.webewid.pl:743/iip/ows
Starosta Powiatu Żarskiego;https://zary.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Zamość;https://zamosc.geoportal2.pl/map/geoportal/wfs.php
Starosta Żagański;https://zaganski-wms.webewid.pl/iip/ows
Starosta Ząbkowicki;https://zabkowicki.webewid.pl:444/iip/ows
Starosta Wołowski;https://wolowski-wms.webewid.pl/iip/ows
Burmistrz Miasta i Gminy Wolbrom;https://wolbrom.webewid.pl:4444/iip/ows
Prezydent Miasta Gliwice;https://wmswfs-geodezja.gliwice.eu/iip/ows
Prezydent Miasta Stołecznego Warszawy;https://wms2.um.warszawa.pl/geoserver/wfs/wfs
Prezydent Miasta Zawiercie;https://wms.zawiercie.eu/zawiercie-egib
Starosta Wrzesiński;https://wms.wrzesnia.powiat.pl/wrzesnia-egib
Starosta Powiatu Wrocławskiego;https://wms.wrosip.pl/iip/ows
Prezydent Miasta Tarnowa;https://wms.umt.tarnow.pl/iip/ows
Prezydent Miasta Sopot;https://wms.um.sopot.pl/iip/ows
Prezydent Miasta Opola;https://wms.um.opole.pl/opole-egib
Starosta Powiatu Szamotulskiego;https://wms.szamotuly.com.pl/szamotuly-egib
Starosta Ostrzeszowski;https://wms.spostrzeszow.pl/ostrzeszow-egib
Prezydent Miasta Słupska;https://wms.slupsk.eu/iip/ows
Prezydent Miasta Piekary Śląskie;https://wms.sip.piekary.pl/piekary-egib
Starosta Warszawski Zachodni;https://wms.pwz.pl/iip/ows
Starosta Powiatu Starogardzkiego;https://wms.powiatstarogard.pl/iip/ows
Starosta Powiatu Średzkiego;https://wms.powiatsredzki.pl/srodawlkp-egib
Starosta Rawski;https://wms.powiatrawski.pl/iip/ows
Starosta Nowotomyski;https://wms.powiatnowotomyski.pl/nowytomysl-egib
Starosta Myśliborski;https://wms.powiatmysliborski.com.pl/mysliborz-egib
Starosta Powiatu Łobeskiego;https://wms.powiatlobeski.pl/lobez-egib
Starosta Krośnieński;https://wms.powiatkrosnienski.pl/krosno-egib
Starosta Kościański;https://wms.powiatkoscian.pl/koscian-egib
Starosta Powiatu Grudziądzkiego;https://wms.powiatgrudziadzki.pl/iip/ows
Starosta Tczewski;https://wms.powiat.tczew.pl/iip/ows
Starosta Powiatu Słupskiego;https://wms.powiat.slupsk.pl/iip/ows
Starosta Powiatu Krakowskiego;https://wms.powiat.krakow.pl:1518/iip/ows
Starosta Złotoryjski;https://wms.powiat-zlotoryja.pl/zlotoryja-egib
Starosta Śremski;https://wms.powiat-srem.pl/srem-egib
Starosta Powiatu Nowosolskiego;https://wms.powiat-nowosolski.pl/nowasol-egib
Starosta Karkonoski;https://wms.podgik.jgora.pl/jeleniagora-egib
Starosta Nowosądecki;https://wms.nowosadecki.pl/iip/ows
Starosta Nowosądecki;https://wms.nowosadecki.pl/iip/ows
Prezydent Miasta Mysłowice;https://wms.myslowice.pl/myslowice-egib
Prezydent Miasta Zabrze;https://wms.miastozabrze.pl/iip/ows
Prezydent Miasta Legnicy;https://wms.legnica.eu/iip/ows
Prezydent Miasta Kielce;https://wms.kielce.eu/kielce-egib
Starosta Kamiennogórski;https://wms.kamienna-gora.pl/kamiennagora-egib
Starosta Powiatu Gnieźnieńskiego;https://wms.geodezjagniezno.pl/gniezno-egib
Prezydent Miasta Elbląg;https://wms.geodezja.elblag.eu/elblag-wms
Starosta Powiatu Pleszewskiego;https://wms.geo.net.pl/pleszew-egib
Starosta Powiatu Wołomińskiego;https://wms.epodgik.pl/cgi-bin/wolomin
Starosta Włodawski;https://wms.epodgik.pl/cgi-bin/wlodawa
Starosta Wejherowski;https://wms.epodgik.pl/cgi-bin/wejherowo
Starosta Węgrowski;https://wms.epodgik.pl/cgi-bin/wegrow
Starosta Węgorzewski;https://wms.epodgik.pl/cgi-bin/wegorzewo
Starosta Pruszkowski;https://wms.epodgik.pl/cgi-bin/pruszkow
Starosta Piaseczyński;https://wms.epodgik.pl/cgi-bin/piaseczno
Starosta Powiatu Mrągowskiego;https://wms.epodgik.pl/cgi-bin/mragowo
Starosta Miński;https://wms.epodgik.pl/cgi-bin/minsk
Starosta Międzychodzki;https://wms.epodgik.pl/cgi-bin/miedzychod
Prezydent Miasta Chełm;https://wms.epodgik.pl/cgi-bin/mchelm
Starosta Powiatu Giżyckiego;https://wms.epodgik.pl/cgi-bin/gizycko
Prezydent Miasta Szczecin;https://wms.e-osrodek.szczecin.pl/szczecin-egib
Starosta Powiatu Człuchowskiego;https://wms.czluchow.org.pl/iip/ows
Starosta Powiatu Czarnkowsko-Trzcianeckiego;https://wms.czarnkowsko-trzcianecki.pl/czarnkowskotrzcianecki-egib
Starosta Powiatu Świeckiego;https://wms.csw.pl/iip/ows
